row	col	stype	detail	dilution
A	1	standard	20	1
A	2	standard	10	1
A	3	standard	5	1
A	4	standard	4	1
A	5	standard	2	1
A	6	standard	1	1
A	7	control	poscon hi	1
A	8	control	poscon lo	1
A	9	control	blocking	1
B	1	standard	20	1
B	2	standard	10	1
B	3	standard	5	1
B	4	standard	4	1
B	5	standard	2	1
B	6	standard	1	1
B	7	control	negcon	1
B	8	sample	v1205.6+C-IPC	50
B	9	sample	v1205.6+C-IPC	50
C	1	sample	v1385.1	10
C	2	sample	v1385.1	10
C	3	sample	v1385.1	50
C	4	sample	v1385.1	50
C	5	sample	v1385.2	10
C	6	sample	v1385.2	10
C	7	sample	v1385.2	50
C	8	sample	v1385.2	50
C	9	control	blocking	1
D	1	sample	v1385.3	10
D	2	sample	v1385.3	10
D	3	sample	v1385.3	50
D	4	sample	v1385.3	50
D	5	sample	v1385.4	10
D	6	sample	v1385.4	10
D	7	sample	v1385.4	50
D	8	sample	v1385.4	50
D	9	control	blocking	1
E	1	sample	v1390.1	10
E	2	sample	v1390.1	10
E	3	sample	v1390.1	50
E	4	sample	v1390.1	50
E	5	sample	v1390.2	10
E	6	sample	v1390.2	10
E	7	sample	v1390.2	50
E	8	sample	v1390.2	50
E	9	control	blocking	1
F	1	sample	v1390.3	10
F	2	sample	v1390.3	10
F	3	sample	v1390.3	50
F	4	sample	v1390.3	50
F	5	sample	v1390.4	10
F	6	sample	v1390.4	10
F	7	sample	v1390.4	50
F	8	sample	v1390.4	50
F	9	control	blocking	1
G	1	sample	v1398.1	10
G	2	sample	v1398.1	10
G	3	sample	v1398.1	50
G	4	sample	v1398.1	50
G	5	sample	v1398.2	10
G	6	sample	v1398.2	10
G	7	sample	v1398.2	50
G	8	sample	v1398.2	50
G	9	control	blocking	1
H	1	sample	v1398.3	10
H	2	sample	v1398.3	10
H	3	sample	v1398.3	50
H	4	sample	v1398.3	50
H	5	sample	v1398.4	10
H	6	sample	v1398.4	10
H	7	sample	v1398.4	50
H	8	sample	v1398.4	50
H	9	control	blocking	1
