row	col	stype	detail	dilution
A	1	standard	20	
A	2	standard	10	
A	3	standard	5	
A	4	standard	4	
A	5	standard	2	
A	6	standard	1	
A	7	control	poscon hi	
A	8	control	poscon lo	
A	9	control	negcon	
A	10	control	poscon hi	
A	11	control	poscon lo	
A	12	control	negcon	
B	1	control	poscon hi	
B	2	control	poscon lo	
B	3	control	negcon	
B	4	control	poscon hi	
B	5	control	poscon lo	
B	6	control	negcon	
B	7	standard	20	
B	8	standard	10	
B	9	standard	5	
B	10	standard	4	
B	11	standard	2	
B	12	standard	1	
C	1	sample	v1187.3	100
C	2	sample	v1187.3	100
C	3	sample	v1187.3	100
C	4	sample	v1187.3	100
C	5	sample	v1187.3	100
C	6	sample	v1187.3	100
C	7	sample	v1187.3	100
C	8	sample	v1187.3	100
C	9	sample	v1187.3	100
C	10	sample	v1187.3	100
C	11	sample	v1187.3	100
C	12	sample	v1187.3	100
D	1	recombinant	Hu 10	1
D	2	recombinant	Hu 10	1
D	3	recombinant	Hu 3	1
D	4	recombinant	Hu 3	1
D	5	recombinant	Hu 1	1
D	6	recombinant	Hu 1	1
D	7	recombinant	HuSNAP 10	1
D	8	recombinant	HuSNAP 10	1
D	9	recombinant	HuSNAP 3	1
D	10	recombinant	HuSNAP 3	1
D	11	recombinant	HuSNAP 1	1
D	12	recombinant	HuSNAP 1	1
E	1	sample	1857 supe	25
E	2	sample	1857 supe	25
E	3	sample	1857 supe	50
E	4	sample	1857 supe	50
E	5	sample	1857 exo	25
E	6	sample	1857 exo	25
E	7	sample	1857 exo	50
E	8	sample	1857 exo	50
E	9	sample	1857 neat	25
E	10	sample	1857 neat	25
E	11	sample	1857 neat	50
E	12	sample	1857 neat	50
F	1	sample	1867 supe	25
F	2	sample	1867 supe	25
F	3	sample	1867 supe	50
F	4	sample	1867 supe	50
F	5	sample	1867 exo	25
F	6	sample	1867 exo	25
F	7	sample	1867 exo	50
F	8	sample	1867 exo	50
F	9	sample	1867 neat	25
F	10	sample	1867 neat	25
F	11	sample	1867 neat	50
F	12	sample	1867 neat	50
G	1	sample	1906 supe	25
G	2	sample	1906 supe	25
G	3	sample	1906 supe	50
G	4	sample	1906 supe	50
G	5	sample	1906 exo	25
G	6	sample	1906 exo	25
G	7	sample	1906 exo	50
G	8	sample	1906 exo	50
G	9	sample	1906 neat	25
G	10	sample	1906 neat	25
G	11	sample	1906 neat	50
G	12	sample	1906 neat	50
H	1	sample	1945 supe	25
H	2	sample	1945 supe	25
H	3	sample	1945 supe	50
H	4	sample	1945 supe	50
H	5	sample	1945 exo	25
H	6	sample	1945 exo	25
H	7	sample	1945 exo	50
H	8	sample	1945 exo	50
H	9	sample	1945 neat	25
H	10	sample	1945 neat	25
H	11	sample	1945 neat	50
H	12	sample	1945 neat	50
