row	col	stype	detail	dilution
A	1	standard	20	1
A	2	control	blocking	1
A	3	sample	v1205.6+C-IPC	50
A	4	sample	v1205.6+C-IPC	50
A	5	sample	v1360.1	50
A	6	sample	v1360.1	50
B	1	standard	10	1
B	2	control	blocking	1
B	3	sample	v1202.1+PrP5-0ng/mL	10
B	4	sample	v1202.1+PrP5-0ng/mL	10
B	5	sample	v1360.2	10
B	6	sample	v1360.2	10
C	1	standard	5	1
C	2	standard	1	1
C	3	sample	v1202.1+PrP5-2ng/mL	10
C	4	sample	v1202.1+PrP5-2ng/mL	10
C	5	sample	v1360.2	50
C	6	sample	v1360.2	50
D	1	standard	4	1
D	2	standard	2	1
D	3	sample	v1202.1+PrP5-5ng/mL	10
D	4	sample	v1202.1+PrP5-5ng/mL	10
D	5	sample	v1360.3	10
D	6	sample	v1360.3	10
E	1	standard	2	1
E	2	standard	4	1
E	3	sample	v1202.1+PrP5-10ng/mL	10
E	4	sample	v1202.1+PrP5-10ng/mL	10
E	5	sample	v1360.3	50
E	6	sample	v1360.3	50
F	1	standard	1	1
F	2	standard	5	1
F	3	sample	rat418	10
F	4	sample	rat418	10
F	5	sample	v1360.4	10
F	6	sample	v1360.4	10
G	1	control	poscon hi	1
G	2	standard	10	1
G	3	sample	rat419	10
G	4	sample	rat419	10
G	5	sample	v1360.4	50
G	6	sample	v1360.4	50
H	1	control	poscon lo	1
H	2	standard	20	1
H	3	sample	v1360.1	10
H	4	sample	v1360.1	10
H	5	sample	v1205.6+C-IPC	50
H	6	sample	v1205.6+C-IPC	50
