row	col	stype	detail	dilution
A	1	control	poscon lo	1
A	2	control	blocking-tween	1
A	3	sample	v1209.2-chaps	10
A	4	sample	v1209.2-chaps	10
A	5	sample	v1187.3	100
B	1	control	poscon hi	1
B	2	control	blocking-chaps	1
B	3	sample	v1209.2-chaps	20
B	4	sample	v1209.2-chaps	20
B	5	sample	v1187.3	100
C	1	standard	1	1
C	2	standard	1	1
C	3	sample	v1209.2-chaps	50
C	4	sample	v1209.2-chaps	50
C	5	sample	v1187.3	200
D	1	standard	2	1
D	2	standard	2	1
D	3	sample	v1209.2-chaps	100
D	4	sample	v1209.2-chaps	100
D	5	sample	v1187.3	200
E	1	standard	4	1
E	2	standard	4	1
E	3	sample	v1209.2-chaps	200
E	4	sample	v1209.2-chaps	200
E	5			
F	1	standard	5	1
F	2	standard	5	1
F	3	sample	v1187.3	10
F	4	sample	v1187.3	10
F	5			
G	1	standard	10	1
G	2	standard	10	1
G	3	sample	v1187.3	20
G	4	sample	v1187.3	20
G	5			
H	1	standard	20	1
H	2	standard	20	1
H	3	sample	v1187.3	50
H	4	sample	v1187.3	50
H	5			
