row	col	stype	detail	dilution
A	1	sample	v1187.3	100
A	2	sample	v1187.3	100
A	3	sample	v1187.3	100
A	4	sample	165.2	100
A	5	sample	165.2	100
A	6	sample	165.2	100
A	7	standard	1	
A	8	standard	2	
A	9	standard	4	
A	10	standard	5	
A	11	standard	10	
A	12	standard	20	
B	1	control	poscon hi	
B	2	control	poscon lo	
B	3	control	negcon	
B	4	sample	1	100
B	5	sample	1	100
B	6	sample	1	100
B	7	sample	2	100
B	8	sample	2	100
B	9	sample	2	100
B	10	sample	3	100
B	11	sample	3	100
B	12	sample	3	100
C	1	sample	4	100
C	2	sample	4	100
C	3	sample	4	100
C	4	sample	5	100
C	5	sample	5	100
C	6	sample	5	100
C	7	sample	6	100
C	8	sample	6	100
C	9	sample	6	100
C	10	sample	7	100
C	11	sample	7	100
C	12	sample	7	100
D	1	sample	8	100
D	2	sample	8	100
D	3	sample	8	100
D	4	sample	9	100
D	5	sample	9	100
D	6	sample	9	100
D	7	sample	10	100
D	8	sample	10	100
D	9	sample	10	100
D	10	sample	11	100
D	11	sample	11	100
D	12	sample	11	100
E	1	recombinant	Hu 10	1
E	2	recombinant	Hu 10	1
E	3	recombinant	Hu 10	1
E	4	recombinant	Hu 3	1
E	5	recombinant	Hu 3	1
E	6	recombinant	Hu 3	1
E	7	recombinant	Hu 1	1
E	8	recombinant	Hu 1	1
E	9	recombinant	Hu 1	1
E	10	control	poscon hi	
E	11	control	poscon lo	
E	12	control	negcon	
F	1	recombinant	Mo 10	1
F	2	recombinant	Mo 10	1
F	3	recombinant	Mo 10	1
F	4	recombinant	Mo 3	1
F	5	recombinant	Mo 3	1
F	6	recombinant	Mo 3	1
F	7	recombinant	Mo 1	1
F	8	recombinant	Mo 1	1
F	9	recombinant	Mo 1	1
F	10	sample	12	100
F	11	sample	12	100
F	12	sample	12	100
G	1	sample	13	100
G	2	sample	13	100
G	3	sample	13	100
G	4	sample	14	100
G	5	sample	14	100
G	6	sample	14	100
G	7	sample	15	100
G	8	sample	15	100
G	9	sample	15	100
G	10	sample	16	100
G	11	sample	16	100
G	12	sample	16	100
H	1	standard	20	
H	2	standard	10	
H	3	standard	5	
H	4	standard	4	
H	5	standard	2	
H	6	standard	1	
H	7	sample	17	100
H	8	sample	17	100
H	9	sample	17	100
H	10	sample	18	100
H	11	sample	18	100
H	12	sample	18	100
