row	col	stype	detail	dilution
A	1	bufcon	hi-noripa	1
A	2	control	negcon	1
A	3	sample	PL2	50
A	4	sample	RBC1	50
A	5	sample	RBC3	50
A	6	sample	BUF2	50
A	7	bufcon	standard-3-noripa	1
B	1	control	poscon hi	1
B	2	control	poscon lo	1
B	3	sample	PL2	50
B	4	sample	RBC1	50
B	5	sample	RBC3	50
B	6	sample	BUF2	50
B	7	bufcon	v1187.3-noripa	1
C	1	standard	1	1
C	2	standard	1	1
C	3	sample	PL2	10
C	4	sample	RBC1	10
C	5	sample	RBC3	10
C	6	sample	BUF2	10
C	7	sample	v1187.3	100
D	1	standard	2	1
D	2	standard	2	1
D	3	sample	PL2	10
D	4	sample	RBC1	10
D	5	sample	RBC3	10
D	6	sample	BUF2	10
D	7	sample	v1187.3	100
E	1	standard	4	1
E	2	standard	4	1
E	3	sample	PL1	50
E	4	sample	PL3	50
E	5	sample	RBC2	50
E	6	sample	BUF1	50
E	7	sample	BUF3	50
F	1	standard	5	1
F	2	standard	5	1
F	3	sample	PL1	50
F	4	sample	PL3	50
F	5	sample	RBC2	50
F	6	sample	BUF1	50
F	7	sample	BUF3	50
G	1	standard	10	1
G	2	standard	10	1
G	3	sample	PL1	10
G	4	sample	PL3	10
G	5	sample	RBC2	10
G	6	sample	BUF1	10
G	7	sample	BUF3	10
H	1	standard	20	1
H	2	standard	20	1
H	3	sample	PL1	10
H	4	sample	PL3	10
H	5	sample	RBC2	10
H	6	sample	BUF1	10
H	7	sample	BUF3	10
