plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
18	A	1	0.7178	control	poscon lo	1	TRUE	3.59414420584906	3.59414420584906	
18	A	2	0.6173	control	blocking-tween	1	TRUE	2.98663908371131	2.98663908371131	
18	A	3	3.3558	sample	v1209.2-chaps	10	TRUE	238.667608546677	200	ULQ
18	A	4	3.3205	sample	v1209.2-chaps	10	TRUE	235.589480416311	200	ULQ
18	A	5	0.5035	sample	v1187.3	100	TRUE	232.56763673392	232.56763673392	
18	B	1	2.3407	control	poscon hi	1	TRUE	15.337136604961	15.337136604961	
18	B	2	2.0198	control	blocking-chaps	1	TRUE	12.7978129736037	12.7978129736037	
18	B	3	1.9704	sample	v1209.2-chaps	20	TRUE	248.293194170789	248.293194170789	
18	B	4	2.0462	sample	v1209.2-chaps	20	TRUE	260.069087455379	260.069087455379	
18	B	5	0.5059	sample	v1187.3	100	TRUE	233.929182567332	233.929182567332	
18	C	1	0.2886	standard	1	1	TRUE	1.17448838039506	1.17448838039506	
18	C	2	0.2334	standard	1	1	TRUE	0.905055031327649	1	LLQ
18	C	3	0.9263	sample	v1209.2-chaps	50	TRUE	245.761294078087	245.761294078087	
18	C	4	0.8747	sample	v1209.2-chaps	50	TRUE	229.064016512181	229.064016512181	
18	C	5	0.2749	sample	v1187.3	200	TRUE	221.284555515336	221.284555515336	
18	D	1	0.5048	standard	2	1	TRUE	2.33304957861481	2.33304957861481	
18	D	2	0.4285	standard	2	1	TRUE	1.90792668632597	1.90792668632597	
18	D	3	0.4773	sample	v1209.2-chaps	100	TRUE	217.801293922249	217.801293922249	
18	D	4	0.5011	sample	v1209.2-chaps	100	TRUE	231.207566844572	231.207566844572	
18	D	5	0.2707	sample	v1187.3	200	TRUE	217.141667872628	217.141667872628	
18	E	1	0.799	standard	4	1	TRUE	4.09948540114539	4.09948540114539	
18	E	2	0.7031	standard	4	1	TRUE	3.50400225040201	3.50400225040201	
18	E	3	0.2565	sample	v1209.2-chaps	200	TRUE	203.243946346928	200	LLQ
18	E	4	0.2634	sample	v1209.2-chaps	200	TRUE	209.975781115285	209.975781115285	
18	E	5	0.0875			1	TRUE	0.271411691731478	1	LLQ
18	F	1	1.01	standard	5	1	TRUE	5.46590204918515	5.46590204918515	
18	F	2	0.8164	standard	5	1	TRUE	4.20934463956839	4.20934463956839	
18	F	3	2.874	sample	v1187.3	10	TRUE	197.318833860205	200	ULQ
18	F	4	2.9333	sample	v1187.3	10	TRUE	202.328230962956	200	ULQ
18	F	5	0.078			1	TRUE	0.235698999423962	1	LLQ
18	G	1	1.9328	standard	10	1	TRUE	12.1244875439076	12.1244875439076	
18	G	2	1.5266	standard	10	1	TRUE	9.07585379842273	9.07585379842273	
18	G	3	1.3134	sample	v1187.3	20	TRUE	150.912209627669	150.912209627669	
18	G	4	1.3821	sample	v1187.3	20	TRUE	160.659034331751	160.659034331751	
18	G	5	0.0838			1	TRUE	0.257391931020096	1	LLQ
18	H	1	3.166	standard	20	1	TRUE	22.2205553373377	20	ULQ
18	H	2	2.5134	standard	20	1	TRUE	16.7376610974116	16.7376610974116	
18	H	3	0.5927	sample	v1187.3	50	TRUE	142.060295990774	142.060295990774	
18	H	4	0.6484	sample	v1187.3	50	TRUE	158.619558399512	158.619558399512	
18	H	5	0.0867			1	TRUE	0.268368751052268	1	LLQ
