plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
25	A	1	0.113	standard	1	1	TRUE	1.10248886514865	1	LLQ
25	A	2	0.225	standard	2	1	TRUE	2.20998793736107	2.20998793736107	
25	A	3	0.426	standard	4	1	TRUE	4.2103251873176	4.2103251873176	
25	A	4	0.492	standard	5	1	TRUE	4.86945198531489	4.86945198531489	
25	A	5	1.231	standard	10	1	TRUE	12.2927827063983	12.2927827063983	
25	A	6	2.054	standard	20	1	TRUE	20.6137485570693	20	ULQ
25	A	7	1.077	sample	v1205.6+C-IPC	50	TRUE	537.04768473874	537.04768473874	
25	A	8	0.921	sample	v1205.6+C-IPC	50	TRUE	458.559040360115	458.559040360115	
25	B	1	1.304	control	poscon hi	1	TRUE	13.029066329708	13.029066329708	
25	B	2	0.315	control	poscon lo	1	TRUE	3.10413368337458	3.10413368337458	
25	B	3	0.019	control	negcon	1	FALSE	0.182184630059147	1	LLQ
25	B	4	0.011	control	blocking	1	FALSE	0.104915641133898	1	LLQ
25	B	5	0.054	sample	IZ_1168	50	TRUE	26.1539831930857	50	LLQ
25	B	6	0.059	sample	IZ_1168	50	TRUE	28.6002916900133	50	LLQ
25	B	7	0.25	sample	IZ_1168	10	TRUE	24.5806191671107	24.5806191671107	
25	B	8	0.217	sample	IZ_1168	10	TRUE	21.3065957521149	21.3065957521149	
25	C	1	0.334	sample	IZ_4296	50	TRUE	164.662209506136	164.662209506136	
25	C	2	0.333	sample	IZ_4296	50	TRUE	164.164417045325	164.164417045325	
25	C	3	1.805	sample	IZ_4296	10	TRUE	180.920346942661	180.920346942661	
25	C	4	1.654	sample	IZ_4296	10	TRUE	165.644251549614	165.644251549614	
25	C	5	0.083	sample	IZ_408	50	TRUE	40.3682055038781	50	LLQ
25	C	6	0.09	sample	IZ_408	50	TRUE	43.8072678072687	50	LLQ
25	C	7	0.514	sample	IZ_408	10	TRUE	50.8935844617334	50.8935844617334	
25	C	8	0.499	sample	IZ_408	10	TRUE	49.3941203938457	49.3941203938457	
25	D	1	0.249	sample	IZ_4254	50	TRUE	122.406707548198	122.406707548198	
25	D	2	0.223	sample	IZ_4254	50	TRUE	109.507661691175	109.507661691175	
25	D	3	1.341	sample	IZ_4254	10	TRUE	134.024059019361	134.024059019361	
25	D	4	1.11	sample	IZ_4254	10	TRUE	110.733164706636	110.733164706636	
25	D	5	0.34	sample	IZ_3498	50	TRUE	167.649267455992	167.649267455992	
25	D	6	0.407	sample	IZ_3498	50	TRUE	201.037726587862	201.037726587862	
25	D	7	2.126	sample	IZ_3498	10	TRUE	213.434907496726	200	ULQ
25	D	8	2.072	sample	IZ_3498	10	TRUE	207.96161096184	200	ULQ
25	E	1	0.095	sample	IZ_711	50	TRUE	46.2653486574819	50	LLQ
25	E	2	0.095	sample	IZ_711	50	TRUE	46.2653486574819	50	LLQ
25	E	3	0.459	sample	IZ_711	10	TRUE	45.3977316261075	45.3977316261075	
25	E	4	0.358	sample	IZ_711	10	TRUE	35.3226971107113	35.3226971107113	
25	E	5	0.06	sample	IZ_2161	50	TRUE	29.0898013380071	50	LLQ
25	E	6	0.076	sample	IZ_2161	50	TRUE	36.9319687757351	50	LLQ
25	E	7	0.471	sample	IZ_2161	10	TRUE	46.5963051512799	46.5963051512799	
25	E	8	0.404	sample	IZ_2161	10	TRUE	39.9083009640382	39.9083009640382	
25	F	1	0.236	sample	IZ_3304	50	TRUE	115.955454566016	115.955454566016	
25	F	2	0.253	sample	IZ_3304	50	TRUE	124.392376365478	124.392376365478	
25	F	3	1.222	sample	IZ_3304	10	TRUE	122.020369453196	122.020369453196	
25	F	4	1.18	sample	IZ_3304	10	TRUE	117.786435277045	117.786435277045	
25	F	5	0.166	sample	IZ_1233	50	TRUE	81.2830149709951	81.2830149709951	
25	F	6	0.156	sample	IZ_1233	50	TRUE	76.3402617713092	76.3402617713092	
25	F	7	0.881	sample	IZ_1233	10	TRUE	87.6907565817674	87.6907565817674	
25	F	8	0.907	sample	IZ_1233	10	TRUE	90.3042427986196	90.3042427986196	
25	G	1	0.092	sample	IZ_690	50	TRUE	44.7903446415715	50	LLQ
25	G	2	0.072	sample	IZ_690	50	TRUE	34.9697709788397	50	LLQ
25	G	3	0.34	sample	IZ_690	10	TRUE	33.5298534911984	33.5298534911984	
25	G	4	0.299	sample	IZ_690	10	TRUE	29.4496860247671	29.4496860247671	
25	G	5	1.27	control	poscon hi	1	TRUE	12.6860883799713	12.6860883799713	
25	G	6	0.28	control	poscon lo	1	TRUE	2.75606814686153	2.75606814686153	
25	G	7	0.023	control	negcon	1	TRUE	0.220949833958154	1	LLQ
25	G	8	0.027	control	blocking	1	TRUE	0.25978105478991	1	LLQ
25	H	1	1.088	sample	v1205.6+C-IPC	50	TRUE	542.586520979513	542.586520979513	
25	H	2	0.994	sample	v1205.6+C-IPC	50	TRUE	495.272808673308	495.272808673308	
25	H	3	0.114	standard	1	1	TRUE	1.11234080151278	1.11234080151278	
25	H	4	0.201	standard	2	1	TRUE	1.9720893410067	1.9720893410067	
25	H	5	0.281	standard	4	1	TRUE	2.76600723721991	2.76600723721991	
25	H	6	0.448	standard	5	1	TRUE	4.42993069912236	4.42993069912236	
25	H	7	0.997	standard	10	1	TRUE	9.93564337835893	9.93564337835893	
25	H	8	1.888	standard	20	1	TRUE	18.932251227828	18.932251227828	
