plate	row	col	a450_620	stype	detail	dilution	above_baseline	ngml	ngml_trunc	flag
6_alt	A	1	2.624	standard	20	1	TRUE	17.6809355292597	17.6809355292597	
6_alt	A	2	1.763	standard	10	1	TRUE	10.5005964354738	10.5005964354738	
6_alt	A	3	0.979	standard	5	1	TRUE	4.85837245206963	4.85837245206963	
6_alt	A	4	0.855	standard	4	1	TRUE	4.06843840874204	4.06843840874204	
6_alt	A	5	0.504	standard	2	1	TRUE	2.03556072380697	2.03556072380697	
6_alt	A	6	0.295	standard	1	1	TRUE	1.00905334867043	1.00905334867043	
6_alt	A	7	2.733	standard	20	1	TRUE	18.6493865186865	20	ULQ
6_alt	A	8	1.841	standard	10	1	TRUE	11.113431248481	11.113431248481	
6_alt	A	9	1.074	standard	5	1	TRUE	5.48517152911646	5.48517152911646	
6_alt	A	10	0.862	standard	4	1	TRUE	4.11213588108792	4.11213588108792	
6_alt	A	11	0.494	standard	2	1	TRUE	1.98280674818307	1.98280674818307	
6_alt	A	12	0.274	standard	1	1	TRUE	0.91599530612063	1	LLQ
6_alt	B	1	0.224	sample	1839	25	TRUE	17.5867290050881	25	LLQ
6_alt	B	2	0.24	sample	1839	25	TRUE	19.2505743784225	25	LLQ
6_alt	B	3	0.147	sample	1839	50	TRUE	20.2550989708706	50	LLQ
6_alt	B	4	0.146	sample	1839	50	TRUE	20.0747538856208	50	LLQ
6_alt	B	5	0.579	sample	1843	25	TRUE	61.0327102179255	61.0327102179255	
6_alt	B	6	0.596	sample	1843	25	TRUE	63.391231475816	63.391231475816	
6_alt	B	7	0.31	sample	1843	50	TRUE	53.8401172643213	53.8401172643213	
6_alt	B	8	0.319	sample	1843	50	TRUE	55.8972951198603	55.8972951198603	
6_alt	B	9	0.359	sample	1846	25	TRUE	32.6272423965028	32.6272423965028	
6_alt	B	10	0.361	sample	1846	25	TRUE	32.8656044236065	32.8656044236065	
6_alt	B	11	0.185	sample	1846	50	TRUE	27.3757659754889	50	LLQ
6_alt	B	12	0.202	sample	1846	50	TRUE	30.7178115217644	50	LLQ
6_alt	C	1	0.425	sample	1847	25	TRUE	40.7017206044559	40.7017206044559	
6_alt	C	2	0.455	sample	1847	25	TRUE	44.5066514611062	44.5066514611062	
6_alt	C	3	0.251	sample	1847	50	TRUE	40.829489675614	50	LLQ
6_alt	C	4	0.262	sample	1847	50	TRUE	43.1897106344872	50	LLQ
6_alt	C	5	0.579	sample	1850	25	TRUE	61.0327102179255	61.0327102179255	
6_alt	C	6	0.633	sample	1850	25	TRUE	68.5964092987698	68.5964092987698	
6_alt	C	7	0.316	sample	1850	50	TRUE	55.2095421068937	55.2095421068937	
6_alt	C	8	0.33	sample	1850	50	TRUE	58.4361505866271	58.4361505866271	
6_alt	C	9	0.769	sample	1857	25	TRUE	88.5207742802451	88.5207742802451	
