plate	row	col	a750	stype	detail	dilution	mgml	flag
11	A	1	0.271	standard	1.6	1	1.47000918604846	
11	A	2	0.193	standard	0.8	1	0.859828251870834	
11	A	3	0.136	standard	0.4	1	0.413926799971801	
11	A	4	0.1096	standard	0.2	1	0.207404022250144	
11	A	5	0.0928	standard	0.1	1	0.1	
11	A	6	0.0786	standard	0.0	1	0.1	
11	A	7	0.2903	standard	1.6	1	1.6	
11	A	8	0.1966	standard	0.8	1	0.887990448832878	
11	A	9	0.1402	standard	0.4	1	0.446782696427519	
11	A	10	0.1093	standard	0.2	1	0.205057172503307	
11	A	11	0.0926	standard	0.1	1	0.1	
11	A	12	0.0796	standard	0.0	1	0.1	
11	B	1	0.1246	sample	v1224.6-nochaps	1	0.324746509591995	
11	B	2	0.1237	sample	v1224.6-nochaps	1	0.317705960351484	
11	B	4	0.1234	sample	165.2-noBSA	1	0.315359110604647	
11	B	5	0.2527	sample	165.2+1mg/mL_BSA	1	1.3268513514914	
11	B	6	0.2074	sample	165.2+1mg/mL_BSA	1	0.97247703971901	
11	C	3	0.0999	sample	165.2-noBSA	1	0.131522547102414	
