User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 24
Test name: A450,Date: 11/17/2017,Time: 12:50:51 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.261,0.198,
A,2,Sample X2,0.363,0.206,
A,3,Sample X3,0.483,0.185,
A,4,Sample X4,0.520,0.193,
A,5,Sample X5,0.925,0.188,
A,6,Sample X6,1.666,0.183,
A,7,Sample X7,1.054,0.176,
A,8,Sample X8,0.384,0.184,
A,9,Sample X9,0.001,600E-6,
A,10,Sample X10,0.001,0.001,
A,11,Sample X11,900E-6,0.001,
A,12,Sample X12,0.001,0.002,
B,1,Sample X13,0.235,0.182,
B,2,Sample X14,0.292,0.174,
B,3,Sample X15,0.444,0.180,
B,4,Sample X16,0.489,0.176,
B,5,Sample X17,0.819,0.184,
B,6,Sample X18,1.457,0.163,
B,7,Sample X19,0.154,0.163,
B,8,Sample X20,0.166,0.172,
B,9,Sample X21,0.002,0.002,
B,10,Sample X22,900E-6,0.003,
B,11,Sample X23,0.002,800E-6,
B,12,Sample X24,0.002,0.002,
C,1,Sample X25,0.793,0.181,
C,2,Sample X26,0.754,0.179,
C,3,Sample X27,0.695,0.173,
C,4,Sample X28,0.859,0.175,
C,5,Sample X29,0.347,0.169,
C,6,Sample X30,0.349,0.172,
C,7,Sample X31,1.054,0.154,
C,8,Sample X32,1.073,0.166,
C,9,Sample X33,0.002,0.003,
C,10,Sample X34,0.002,0.002,
C,11,Sample X35,0.002,0.002,
C,12,Sample X36,0.003,0.002,
D,1,Sample X37,0.225,0.182,
D,2,Sample X38,0.219,0.173,
D,3,Sample X39,0.468,0.167,
D,4,Sample X40,0.522,0.174,
D,5,Sample X41,0.209,0.178,
D,6,Sample X42,0.211,0.168,
D,7,Sample X43,0.452,0.173,
D,8,Sample X44,0.495,0.186,
D,9,Sample X45,0.003,0.004,
D,10,Sample X46,0.002,0.003,
D,11,Sample X47,0.003,0.002,
D,12,Sample X48,0.003,0.004,
E,1,Sample X49,0.220,0.167,
E,2,Sample X50,0.203,0.160,
E,3,Sample X51,0.463,0.162,
E,4,Sample X52,0.443,0.172,
E,5,Sample X53,0.208,0.161,
E,6,Sample X54,0.207,0.153,
E,7,Sample X55,0.472,0.140,
E,8,Sample X56,0.436,0.149,
E,9,Sample X57,0.003,0.003,
E,10,Sample X58,0.003,0.003,
E,11,Sample X59,0.003,0.003,
E,12,Sample X60,0.003,0.004,
F,1,Sample X61,0.306,0.145,
F,2,Sample X62,0.376,0.143,
F,3,Sample X63,1.329,0.136,
F,4,Sample X64,1.356,0.147,
F,5,Sample X65,0.182,0.144,
F,6,Sample X66,0.155,0.129,
F,7,Sample X67,0.358,0.133,
F,8,Sample X68,0.355,0.142,
F,9,Sample X69,0.004,0.002,
F,10,Sample X70,0.004,0.002,
F,11,Sample X71,0.003,0.002,
F,12,Sample X72,0.002,0.003,
G,1,Sample X73,0.316,0.147,
G,2,Sample X74,0.321,0.151,
G,3,Sample X75,1.326,0.138,
G,4,Sample X76,1.355,0.157,
G,5,Sample X77,0.138,0.142,
G,6,Sample X78,0.129,0.134,
G,7,Sample X79,0.124,0.127,
G,8,Sample X80,0.123,0.141,
G,9,Sample X81,0.004,0.002,
G,10,Sample X82,0.003,0.004,
G,11,Sample X83,0.004,0.002,
G,12,Sample X84,0.004,0.003,
H,1,Sample X85,0.034,0.039,
H,2,Sample X86,0.031,0.036,
H,3,Sample X87,0.033,0.035,
H,4,Sample X88,0.032,0.038,
H,5,Sample X89,0.033,0.038,
H,6,Sample X90,0.035,0.040,
H,7,Sample X91,0.034,0.039,
H,8,Sample X92,0.030,0.035,
H,9,Sample X93,0.004,0.003,
H,10,Sample X94,0.004,0.004,
H,11,Sample X95,0.004,0.002,
H,12,Sample X96,0.003,0.002,
