User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 17
Test name: A450,Date: 10/31/2017,Time: 1:58:38 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.295,0.203,
A,2,Sample X2,0.411,0.213,
A,3,Sample X3,0.567,0.194,
A,4,Sample X4,0.609,0.188,
A,5,Sample X5,1.041,0.188,
A,6,Sample X6,1.977,0.172,
A,7,Sample X7,0.236,0.174,
A,8,Sample X8,0.294,0.177,
A,9,Sample X9,0.460,0.170,
A,10,Sample X10,0.555,0.164,
A,11,Sample X11,1.092,0.170,
A,12,Sample X12,1.946,0.184,
B,1,Sample X13,1.444,0.187,
B,2,Sample X14,0.430,0.178,
B,3,Sample X15,0.190,0.185,
B,4,Sample X16,0.173,0.178,
B,5,Sample X17,0.927,0.183,
B,6,Sample X18,0.876,0.170,
B,7,Sample X19,0.744,0.158,
B,8,Sample X20,0.762,0.163,
B,9,Sample X21,0.275,0.171,
B,10,Sample X22,0.276,0.155,
B,11,Sample X23,0.913,0.146,
B,12,Sample X24,0.775,0.168,
C,1,Sample X25,0.416,0.196,
C,2,Sample X26,0.377,0.183,
C,3,Sample X27,1.344,0.187,
C,4,Sample X28,1.108,0.172,
C,5,Sample X29,0.348,0.180,
C,6,Sample X30,0.325,0.166,
C,7,Sample X31,1.171,0.171,
C,8,Sample X32,0.968,0.164,
C,9,Sample X33,0.354,0.156,
C,10,Sample X34,0.351,0.150,
C,11,Sample X35,1.292,0.146,
C,12,Sample X36,1.255,0.160,
D,1,Sample X37,0.255,0.190,
D,2,Sample X38,0.242,0.185,
D,3,Sample X39,0.455,0.173,
D,4,Sample X40,0.421,0.165,
D,5,Sample X41,0.259,0.169,
D,6,Sample X42,0.245,0.162,
D,7,Sample X43,0.641,0.147,
D,8,Sample X44,0.635,0.167,
D,9,Sample X45,0.488,0.157,
D,10,Sample X46,0.519,0.150,
D,11,Sample X47,2.376,0.148,
D,12,Sample X48,2.204,0.152,
E,1,Sample X49,0.222,0.170,
E,2,Sample X50,0.210,0.164,
E,3,Sample X51,0.402,0.160,
E,4,Sample X52,0.414,0.160,
E,5,Sample X53,0.395,0.163,
E,6,Sample X54,0.387,0.147,
E,7,Sample X55,1.431,0.152,
E,8,Sample X56,1.598,0.149,
E,9,Sample X57,0.233,0.145,
E,10,Sample X58,0.265,0.139,
E,11,Sample X59,0.833,0.136,
E,12,Sample X60,0.875,0.141,
F,1,Sample X61,0.300,0.147,
F,2,Sample X62,0.305,0.144,
F,3,Sample X63,1.125,0.150,
F,4,Sample X64,1.072,0.141,
F,5,Sample X65,0.361,0.143,
F,6,Sample X66,0.314,0.131,
F,7,Sample X67,1.175,0.126,
F,8,Sample X68,1.261,0.134,
F,9,Sample X69,0.301,0.131,
F,10,Sample X70,0.327,0.123,
F,11,Sample X71,1.378,0.123,
F,12,Sample X72,1.455,0.136,
G,1,Sample X73,0.303,0.139,
G,2,Sample X74,0.292,0.144,
G,3,Sample X75,1.064,0.157,
G,4,Sample X76,0.936,0.162,
G,5,Sample X77,0.539,0.150,
G,6,Sample X78,0.366,0.140,
G,7,Sample X79,1.568,0.141,
G,8,Sample X80,1.600,0.144,
G,9,Sample X81,0.369,0.139,
G,10,Sample X82,0.386,0.135,
G,11,Sample X83,1.816,0.121,
G,12,Sample X84,1.604,0.137,
H,1,Sample X85,0.450,0.161,
H,2,Sample X86,0.394,0.155,
H,3,Sample X87,1.878,0.158,
H,4,Sample X88,1.525,0.153,
H,5,Sample X89,0.913,0.145,
H,6,Sample X90,0.451,0.151,
H,7,Sample X91,1.478,0.152,
H,8,Sample X92,1.536,0.137,
H,9,Sample X93,0.371,0.140,
H,10,Sample X94,0.367,0.140,
H,11,Sample X95,1.618,0.142,
H,12,Sample X96,1.657,0.159,
