User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 165
Test name: A450,Date: 10/27/2016,Time: 4:34:22 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,3.080,0.096,
A,2,Sample X2,1.924,0.111,
A,3,Sample X3,0.921,0.092,
A,4,Sample X4,0.820,0.086,
A,5,Sample X5,0.461,0.087,
A,6,Sample X6,0.314,0.085,
A,7,Sample X7,2.888,0.084,
A,8,Sample X8,1.715,0.077,
A,9,Sample X9,0.926,0.085,
A,10,Sample X10,0.844,0.092,
A,11,Sample X11,0.448,0.095,
A,12,Sample X12,0.335,0.105,
B,1,Sample X13,4.413,0.083,
B,2,Sample X14,4.500,0.098,
B,3,Sample X15,1.136,0.072,
B,4,Sample X16,1.227,0.080,
B,5,Sample X17,3.006,0.075,
B,6,Sample X18,3.146,0.065,
B,7,Sample X19,0.623,0.068,
B,8,Sample X20,0.655,0.068,
B,9,Sample X21,1.392,0.071,
B,10,Sample X22,1.513,0.068,
B,11,Sample X23,0.156,0.077,
B,12,Sample X24,0.177,0.083,
C,1,Sample X25,3.714,0.086,
C,2,Sample X26,4.237,0.108,
C,3,Sample X27,0.678,0.080,
C,4,Sample X28,0.739,0.082,
C,5,Sample X29,0.309,0.067,
C,6,Sample X30,0.280,0.063,
C,7,Sample X31,0.137,0.068,
C,8,Sample X32,0.149,0.069,
C,9,Sample X33,2.692,0.086,
C,10,Sample X34,2.769,0.078,
C,11,Sample X35,0.574,0.075,
C,12,Sample X36,0.557,0.081,
D,1,Sample X37,0.456,0.075,
D,2,Sample X38,0.493,0.080,
D,3,Sample X39,0.180,0.080,
D,4,Sample X40,0.186,0.072,
D,5,Sample X41,4.500,0.070,
D,6,Sample X42,4.500,0.075,
D,7,Sample X43,1.786,0.062,
D,8,Sample X44,1.829,0.065,
D,9,Sample X45,0.762,0.063,
D,10,Sample X46,0.820,0.076,
D,11,Sample X47,0.246,0.088,
D,12,Sample X48,0.251,0.080,
E,1,Sample X49,4.413,0.074,
E,2,Sample X50,4.500,0.084,
E,3,Sample X51,1.538,0.056,
E,4,Sample X52,1.586,0.059,
E,5,Sample X53,4.413,0.059,
E,6,Sample X54,4.413,0.054,
E,7,Sample X55,1.032,0.061,
E,8,Sample X56,1.061,0.059,
E,9,Sample X57,0.778,0.062,
E,10,Sample X58,0.873,0.073,
E,11,Sample X59,0.203,0.066,
E,12,Sample X60,0.248,0.061,
F,1,Sample X61,2.041,0.055,
F,2,Sample X62,2.177,0.071,
F,3,Sample X63,0.461,0.051,
F,4,Sample X64,0.490,0.055,
F,5,Sample X65,2.620,0.054,
F,6,Sample X66,2.844,0.053,
F,7,Sample X67,0.548,0.051,
F,8,Sample X68,0.573,0.057,
F,9,Sample X69,2.311,0.067,
F,10,Sample X70,2.664,0.059,
F,11,Sample X71,0.463,0.068,
F,12,Sample X72,0.519,0.058,
G,1,Sample X73,3.811,0.057,
G,2,Sample X74,3.714,0.064,
G,3,Sample X75,0.843,0.056,
G,4,Sample X76,0.893,0.067,
G,5,Sample X77,3.869,0.060,
G,6,Sample X78,4.237,0.057,
G,7,Sample X79,0.921,0.062,
G,8,Sample X80,0.913,0.074,
G,9,Sample X81,2.535,0.072,
G,10,Sample X82,2.692,0.064,
G,11,Sample X83,0.587,0.066,
G,12,Sample X84,0.621,0.070,
H,1,Sample X85,3.936,0.064,
H,2,Sample X86,4.237,0.064,
H,3,Sample X87,0.967,0.055,
H,4,Sample X88,0.999,0.055,
H,5,Sample X89,1.663,0.059,
H,6,Sample X90,1.787,0.056,
H,7,Sample X91,1.594,0.066,
H,8,Sample X92,0.513,0.075,
H,9,Sample X93,0.433,0.055,
H,10,Sample X94,0.480,0.061,
H,11,Sample X95,0.100,0.056,
H,12,Sample X96,0.142,0.084,
