User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 188
Test name: A450,Date: 4/27/2017,Time: 3:38:59 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.311,0.208,
A,2,Sample X2,0.426,0.203,
A,3,Sample X3,0.586,0.206,
A,4,Sample X4,0.787,0.181,
A,5,Sample X5,1.380,0.186,
A,6,Sample X6,2.566,0.179,
A,7,Sample X7,1.453,0.165,
A,8,Sample X8,0.494,0.178,
A,9,Sample X9,0.175,0.158,
A,10,Sample X10,0.184,0.171,
A,11,Sample X11,1.080,0.171,
A,12,Sample X12,1.236,0.166,
B,1,Sample X13,1.183,0.181,
B,2,Sample X14,1.255,0.178,
B,3,Sample X15,4.113,0.185,
B,4,Sample X16,4.016,0.192,
B,5,Sample X17,0.575,0.182,
B,6,Sample X18,0.549,0.164,
B,7,Sample X19,2.078,0.159,
B,8,Sample X20,2.176,0.164,
B,9,Sample X21,0.654,0.170,
B,10,Sample X22,0.699,0.162,
B,11,Sample X23,2.545,0.139,
B,12,Sample X24,2.922,0.153,
C,1,Sample X25,0.663,0.189,
C,2,Sample X26,0.758,0.196,
C,3,Sample X27,2.662,0.184,
C,4,Sample X28,2.611,0.172,
C,5,Sample X29,0.252,0.174,
C,6,Sample X30,0.241,0.168,
C,7,Sample X31,0.430,0.154,
C,8,Sample X32,0.566,0.166,
C,9,Sample X33,0.298,0.150,
C,10,Sample X34,0.351,0.156,
C,11,Sample X35,1.072,0.148,
C,12,Sample X36,1.063,0.153,
D,1,Sample X37,0.215,0.181,
D,2,Sample X38,0.248,0.185,
D,3,Sample X39,0.460,0.179,
D,4,Sample X40,0.467,0.168,
D,5,Sample X41,0.330,0.171,
D,6,Sample X42,0.309,0.160,
D,7,Sample X43,0.864,0.157,
D,8,Sample X44,0.939,0.168,
D,9,Sample X45,0.242,0.159,
D,10,Sample X46,0.250,0.157,
D,11,Sample X47,0.674,0.148,
D,12,Sample X48,0.739,0.140,
E,1,Sample X49,0.371,0.161,
E,2,Sample X50,0.459,0.163,
E,3,Sample X51,1.838,0.160,
E,4,Sample X52,1.909,0.155,
E,5,Sample X53,0.725,0.154,
E,6,Sample X54,0.767,0.146,
E,7,Sample X55,2.929,0.139,
E,8,Sample X56,3.171,0.149,
E,9,Sample X57,0.796,0.132,
E,10,Sample X58,0.927,0.142,
E,11,Sample X59,3.511,0.141,
E,12,Sample X60,3.760,0.141,
F,1,Sample X61,0.181,0.149,
F,2,Sample X62,0.217,0.156,
F,3,Sample X63,0.317,0.150,
F,4,Sample X64,0.314,0.133,
F,5,Sample X65,0.283,0.137,
F,6,Sample X66,0.274,0.130,
F,7,Sample X67,0.765,0.122,
F,8,Sample X68,0.777,0.130,
F,9,Sample X69,0.261,0.122,
F,10,Sample X70,0.238,0.120,
F,11,Sample X71,0.743,0.116,
F,12,Sample X72,0.654,0.117,
G,1,Sample X73,0.383,0.149,
G,2,Sample X74,0.446,0.151,
G,3,Sample X75,1.765,0.147,
G,4,Sample X76,1.691,0.148,
G,5,Sample X77,0.297,0.141,
G,6,Sample X78,0.285,0.129,
G,7,Sample X79,0.877,0.124,
G,8,Sample X80,0.979,0.129,
G,9,Sample X81,0.389,0.116,
G,10,Sample X82,0.440,0.127,
G,11,Sample X83,1.442,0.114,
G,12,Sample X84,1.677,0.117,
H,1,Sample X85,0.361,0.169,
H,2,Sample X86,0.373,0.167,
H,3,Sample X87,1.206,0.168,
H,4,Sample X88,1.144,0.161,
H,5,Sample X89,0.891,0.148,
H,6,Sample X90,0.890,0.145,
H,7,Sample X91,0.267,0.147,
H,8,Sample X92,0.345,0.136,
H,9,Sample X93,0.499,0.124,
H,10,Sample X94,0.710,0.132,
H,11,Sample X95,1.295,0.125,
H,12,Sample X96,2.464,0.137,
