User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 183
Test name: A450,Date: 2/1/2017,Time: 3:00:42 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.250,0.200,
A,2,Sample X2,0.313,0.181,
A,3,Sample X3,0.481,0.179,
A,4,Sample X4,0.563,0.175,
A,5,Sample X5,1.016,0.181,
A,6,Sample X6,1.689,0.174,
A,7,Sample X7,0.233,0.165,
A,8,Sample X8,0.310,0.179,
A,9,Sample X9,0.488,0.162,
A,10,Sample X10,0.552,0.155,
A,11,Sample X11,0.999,0.165,
A,12,Sample X12,1.757,0.162,
B,1,Sample X13,0.982,0.180,
B,2,Sample X14,0.956,0.168,
B,3,Sample X15,0.299,0.189,
B,4,Sample X16,0.266,0.155,
B,5,Sample X17,3.762,0.166,
B,6,Sample X18,3.438,0.160,
B,7,Sample X19,0.892,0.152,
B,8,Sample X20,0.831,0.163,
B,9,Sample X21,1.751,0.143,
B,10,Sample X22,1.626,0.136,
B,11,Sample X23,0.225,0.144,
B,12,Sample X24,0.679,0.149,
C,1,Sample X25,1.788,0.179,
C,2,Sample X26,1.704,0.173,
C,3,Sample X27,0.464,0.170,
C,4,Sample X28,0.437,0.166,
C,5,Sample X29,1.201,0.162,
C,6,Sample X30,1.087,0.170,
C,7,Sample X31,0.482,0.153,
C,8,Sample X32,0.260,0.165,
C,9,Sample X33,1.369,0.154,
C,10,Sample X34,1.315,0.139,
C,11,Sample X35,0.337,0.139,
C,12,Sample X36,0.322,0.140,
D,1,Sample X37,0.886,0.185,
D,2,Sample X38,0.894,0.171,
D,3,Sample X39,0.295,0.171,
D,4,Sample X40,0.274,0.168,
D,5,Sample X41,0.382,0.175,
D,6,Sample X42,0.333,0.162,
D,7,Sample X43,0.190,0.158,
D,8,Sample X44,0.182,0.166,
D,9,Sample X45,1.393,0.140,
D,10,Sample X46,1.300,0.142,
D,11,Sample X47,0.331,0.145,
D,12,Sample X48,0.307,0.144,
E,1,Sample X49,1.889,0.162,
E,2,Sample X50,1.662,0.169,
E,3,Sample X51,0.461,0.149,
E,4,Sample X52,0.416,0.148,
E,5,Sample X53,0.780,0.151,
E,6,Sample X54,0.692,0.144,
E,7,Sample X55,0.237,0.135,
E,8,Sample X56,0.250,0.143,
E,9,Sample X57,0.868,0.128,
E,10,Sample X58,0.809,0.126,
E,11,Sample X59,0.255,0.140,
E,12,Sample X60,0.245,0.123,
F,1,Sample X61,1.730,0.150,
F,2,Sample X62,1.544,0.142,
F,3,Sample X63,0.367,0.149,
F,4,Sample X64,0.336,0.132,
F,5,Sample X65,1.333,0.143,
F,6,Sample X66,1.161,0.130,
F,7,Sample X67,0.320,0.121,
F,8,Sample X68,0.302,0.137,
F,9,Sample X69,1.025,0.121,
F,10,Sample X70,0.925,0.115,
F,11,Sample X71,0.278,0.122,
F,12,Sample X72,0.264,0.117,
G,1,Sample X73,1.007,0.146,
G,2,Sample X74,0.985,0.142,
G,3,Sample X75,0.282,0.130,
G,4,Sample X76,0.286,0.138,
G,5,Sample X77,3.269,0.143,
G,6,Sample X78,2.938,0.138,
G,7,Sample X79,1.605,0.121,
G,8,Sample X80,1.518,0.143,
G,9,Sample X81,0.638,0.118,
G,10,Sample X82,0.564,0.121,
G,11,Sample X83,0.376,0.129,
G,12,Sample X84,0.356,0.114,
H,1,Sample X85,1.039,0.165,
H,2,Sample X86,0.376,0.150,
H,3,Sample X87,0.177,0.167,
H,4,Sample X88,0.150,0.147,
H,5,Sample X89,1.206,0.152,
H,6,Sample X90,1.051,0.144,
H,7,Sample X91,0.620,0.132,
H,8,Sample X92,0.573,0.144,
H,9,Sample X93,0.308,0.135,
H,10,Sample X94,0.277,0.127,
H,11,Sample X95,0.231,0.138,
H,12,Sample X96,0.211,0.126,
