User: USER,Path: C:\Program Files\BMG\OPTIMA\User\Data\,Test run no.: 5
Test name: A450,Date: 5/17/2017,Time: 3:10:12 PM
Absorbance

Well Row,Well Col,Content,Raw Data (450BP 1),Raw Data (620BP 2),
A,1,Sample X1,0.321,0.208,
A,2,Sample X2,0.418,0.193,
A,3,Sample X3,0.609,0.183,
A,4,Sample X4,0.663,0.171,
A,5,Sample X5,1.405,0.174,
A,6,Sample X6,2.229,0.175,
A,7,Sample X7,1.247,0.170,
A,8,Sample X8,1.096,0.175,
A,9,Sample X9,500E-6,-0.001,
A,10,Sample X10,400E-6,0.001,
A,11,Sample X11,700E-6,-200E-6,
A,12,Sample X12,0.001,700E-6,
B,1,Sample X13,1.490,0.186,
B,2,Sample X14,0.477,0.162,
B,3,Sample X15,0.189,0.170,
B,4,Sample X16,0.178,0.167,
B,5,Sample X17,0.216,0.162,
B,6,Sample X18,0.223,0.164,
B,7,Sample X19,0.397,0.147,
B,8,Sample X20,0.373,0.156,
B,9,Sample X21,0.002,100E-6,
B,10,Sample X22,0.002,700E-6,
B,11,Sample X23,0.001,200E-6,
B,12,Sample X24,400E-6,-700E-6,
C,1,Sample X25,0.516,0.182,
C,2,Sample X26,0.512,0.179,
C,3,Sample X27,1.988,0.183,
C,4,Sample X28,1.827,0.173,
C,5,Sample X29,0.249,0.166,
C,6,Sample X30,0.265,0.175,
C,7,Sample X31,0.678,0.164,
C,8,Sample X32,0.653,0.154,
C,9,Sample X33,0.003,0.001,
C,10,Sample X34,0.002,0.001,
C,11,Sample X35,0.003,700E-6,
C,12,Sample X36,0.004,800E-6,
D,1,Sample X37,0.432,0.183,
D,2,Sample X38,0.411,0.188,
D,3,Sample X39,1.513,0.172,
D,4,Sample X40,1.279,0.169,
D,5,Sample X41,0.502,0.162,
D,6,Sample X42,0.574,0.167,
D,7,Sample X43,2.282,0.156,
D,8,Sample X44,2.236,0.164,
D,9,Sample X45,0.003,700E-6,
D,10,Sample X46,0.003,0.001,
D,11,Sample X47,0.002,600E-6,
D,12,Sample X48,0.002,400E-6,
E,1,Sample X49,0.260,0.165,
E,2,Sample X50,0.256,0.161,
E,3,Sample X51,0.615,0.156,
E,4,Sample X52,0.515,0.157,
E,5,Sample X53,0.207,0.147,
E,6,Sample X54,0.226,0.150,
E,7,Sample X55,0.627,0.156,
E,8,Sample X56,0.565,0.161,
E,9,Sample X57,0.003,0.001,
E,10,Sample X58,0.003,0.002,
E,11,Sample X59,0.002,0,
E,12,Sample X60,0.003,0.002,
F,1,Sample X61,0.385,0.149,
F,2,Sample X62,0.409,0.156,
F,3,Sample X63,1.369,0.147,
F,4,Sample X64,1.322,0.142,
F,5,Sample X65,0.303,0.137,
F,6,Sample X66,0.294,0.138,
F,7,Sample X67,1.014,0.133,
F,8,Sample X68,1.044,0.137,
F,9,Sample X69,0.004,-400E-6,
F,10,Sample X70,0.003,0.002,
F,11,Sample X71,0.003,-600E-6,
F,12,Sample X72,0.003,-100E-6,
G,1,Sample X73,0.231,0.139,
G,2,Sample X74,0.214,0.142,
G,3,Sample X75,0.480,0.140,
G,4,Sample X76,0.437,0.138,
G,5,Sample X77,1.400,0.130,
G,6,Sample X78,0.413,0.133,
G,7,Sample X79,0.152,0.129,
G,8,Sample X80,0.158,0.131,
G,9,Sample X81,0.004,600E-6,
G,10,Sample X82,0.003,700E-6,
G,11,Sample X83,0.003,0.001,
G,12,Sample X84,0.004,200E-6,
H,1,Sample X85,1.242,0.154,
H,2,Sample X86,1.144,0.150,
H,3,Sample X87,0.264,0.150,
H,4,Sample X88,0.349,0.148,
H,5,Sample X89,0.425,0.144,
H,6,Sample X90,0.597,0.149,
H,7,Sample X91,1.145,0.148,
H,8,Sample X92,2.029,0.141,
H,9,Sample X93,0.003,600E-6,
H,10,Sample X94,0.003,0.002,
H,11,Sample X95,0.003,0.002,
H,12,Sample X96,0.003,-100E-6,
